Cyrillic, Latin
я,ʲa
ё,ʲo
ю,ʲu
п1,p'
т1,t'
ц1,c'
кь,q'
к1,k'
ч1,č'
а1,aˤ
у1,uˤ
ы1,ɨˤ
гь,h
гъ,ʁ
г1,ɣ
дж,ǯ
хь,x
хъ,q
къ,ɢ
аь,ä
уь,ü
а,a
б,b
в,w
г,g
д,d
е,e
ж,ž
з,z
и,i
й,j
о,o
п,p
р,r
с,s
т,t
у,u
ф,f
х,χ
ц,c
к,k
л,l
м,m
н,n
ч,č
ш,š
ъ,ʔ
ы,ɨ
э,e
ть,t
сь,s
пь,p
ль,l
a,a
гв,gʷ
кв,k
щ,chš
ь,
хв,hʷ
